city,state_province,postal_code,country
Redwood City,CA,94063,US
San Mateo,CA,94401,US
San Mateo,CA,94403,US
San Mateo,CA,94401,US
San Mateo,CA,94401,US
Menlo Park,CA,94025-9881,US
Menlo Park,CA,94025,US
Menlo Park,CA,94025-9881,US
Redwood City,CA,94063,US
Redwood City,CA,94063,US
Redwood City,CA,94061,US
Redwood City,CA,94063,US
Redwood City,CA,94065,US
Redwood City,CA,94063,US
San Francisco,CA,94110,US
Sunnyvale,CA,94087,US
South San Francisco,CA,94080,US
Redwood City,CA,94063,US
San Mateo,CA,94403,US
Belmont,CA,94002,US
San Francisco,CA,94103,US
